marketing_year,quarter_period,beginning_stocks,production,imports,total_supply,industrial_use,seed_use,feed_residual,total_domestic_use,exports,total_use,ending_stocks
1975/76,MY September-August,558,5840.757,1.497,6400.254,500.7,20.1,3581.76,4102.56,1664.494,5767.054,633.2
1976/77,MY September-August,633.2,6289.169,2.431,6924.8,522.1,20.1,3601.881,4144.081,1645.119,5789.2,1135.6
1977/78,MY September-August,1135.6,6505.041,2.398,7643.039,561.5,19.5,3729.743,4310.743,1896.396,6207.139,1435.9
1978/79,MY September-August,1435.9,7267.927,1.152,8704.979,588.5,19.5,4274.362,4882.362,2113.117,6995.479,1709.5
1979/80,MY September-August,1709.5,7928.139,0.721,9638.36,619.5,20,4563.043,5202.543,2401.517,7604.06,2034.3
1980/81,MY September-August,2034.3,6639.396,0.848,8674.544,639,20.2,4232.138,4891.338,2391.106,7282.444,1392.1
1982/83,MY September-August,2536.6,8235.101,0.489,10772.19,840,14.5,4573.245,5427.745,1821.345,7249.09,3523.1
1983/84,MY September-August,3523.1,4174.251,1.708,7699.059,911,19.1,3876.262,4806.362,1886.397,6692.759,1006.3
1984/85,MY September-August,1006.3,7672.13,1.733,8680.163,1046,21.2,4114.512,5181.712,1850.251,7031.963,1648.2
1985/86,MY September-August,1648.2,8875.453,9.898,10533.551,1133,19.5,4114.197,5266.697,1227.332,6494.029,4039.522
1986/87,MY September-August,4039.522,8225.764,1.757,12267.043,1216.712,16.7,4659.467,5892.879,1492.471,7385.35,4881.693
1987/88,MY September-August,4881.693,7131.3,3.411,12016.404,1234.449,17.2,4789.244,6040.893,1716.425,7757.318,4259.086
1988/89,MY September-August,4259.086,4928.681,2.782,9190.549,1279.358,18.4,3933.91,5231.668,2028.453,7260.121,1930.428
1989/90,MY September-August,1930.428,7531.953,1.902,9464.283,1351.139,18.9,4382.484,5752.523,2367.303,8119.826,1344.457
1990/91,MY September-August,1344.457,7934.028,3.415,9281.9,1405.817,19.3,4608.907,6034.024,1726.631,7760.655,1521.245
1992/93,MY September-August,1100.311,9476.698,7.091,10584.1,1537.052,18.7,5252.089,6807.841,1663.278,8471.119,2112.981
1993/94,MY September-August,2112.981,6337.73,20.815,8471.526,1593.111,20.1,4679.85,6293.061,1328.322,7621.383,850.143
1994/95,MY September-August,850.143,10050.52,9.557,10910.22,1696.937,18.3,5459.661,7174.898,2177.482,9352.38,1557.84
1995/96,MY September-August,1557.84,7400.051,16.487,8974.378,1607.98,21.902,4690.73,6320.612,2227.824,8548.436,425.942
1996/97,MY September-August,425.942,9232.557,13.261,9671.76,1693.921,22.276,5275.033,6991.23,1797.369,8788.599,883.161
1997/98,MY September-August,883.161,9206.832,8.81,10098.803,1815.678,23.054,5447.842,7286.574,1504.426,8791,1307.803
1998/99,MY September-August,1307.803,9758.685,18.806,11085.294,1841.993,22.319,5449.812,7314.124,1984.193,9298.317,1786.977
1999/00,MY September-August,1786.977,9430.612,14.744,11232.333,1915.206,23.14,5639.872,7578.218,1936.566,9514.784,1717.549
2000/01,MY September-August,1717.549,9915.051,6.824,11639.424,1957.616,22.45,5818.902,7798.968,1941.348,9740.316,1899.108
2002/03,MY September-August,1596.426,8966.787,14.446,10577.659,2334.814,23.749,5544.536,7903.099,1587.887,9490.986,1086.673
2003/04,MY September-August,1086.673,10087.292,14.076,11188.041,2528.334,24.16,5777.639,8330.133,1899.817,10229.95,958.091
2004/05,MY September-August,958.091,11805.581,10.83,12774.502,2686.608,24.217,6131.649,8842.474,1818.056,10660.53,2113.972
2005/06,MY September-August,2113.972,11112.187,8.806,13234.965,2999.036,23.645,6111.312,9133.993,2133.811,11267.804,1967.161
2006/07,MY September-August,1967.161,10531.123,11.983,12510.267,3517.374,28.549,5535.328,9081.251,2125.369,11206.62,1303.647
2007/08,MY September-August,1303.647,13037.875,20.021,14361.543,4420.41,26.552,5853.029,10299.991,2437.402,12737.393,1624.15
2008/09,MY September-August,1624.15,12043.203,13.53,13680.883,5003.27,27.228,5128.127,10158.625,1848.947,12007.572,1673.311
2009/10,MY September-August,1673.311,13067.156,8.343,14748.81,5938.666,27.755,5095.576,11061.997,1979.026,13041.023,1707.787
2010/11,MY September-August,1707.787,12425.33,27.669,14160.786,6402.522,29.576,4770.118,11202.216,1830.925,13033.141,1127.645
2012/13,MY September-August,989.027,10755.111,159.946,11904.084,6013.209,30.963,4308.639,10352.811,730.088,11082.899,821.185
2013/14,MY September-August,821.185,13830.704,35.794,14687.683,6501.097,29.722,5004.177,11534.996,1920.783,13455.779,1231.904
2014/15,MY September-August,1231.904,14217.292,31.646,15480.842,6566.101,29.255,5287.44,11882.796,1866.882,13749.678,1731.164
2015/16,MY September-August,1731.164,13601.964,67.565,15400.693,6616.592,30.555,5117.854,11765.001,1898.634,13663.635,1737.058
2016/17,MY September-August,1737.058,15148.038,57.068,16942.164,6855.919,29.304,5467.95,12353.173,2295.688,14648.861,2293.303
2017/18,MY September-August,2293.303,14609.407,36.013,16938.723,7027.145,29.531,5304.598,12361.274,2437.114,14798.388,2140.335
2018/19,MY September-August,2140.335,14321.674,27.959,16489.968,6763.57,28.939,5392.109,12184.618,2068.342,14252.96,2237.008
2019/20,MY September-August,2237.008,13568.306,41.885,15847.199,6256.213,29.777,5778.379,12064.369,1778.476,13842.845,2004.354
2020/21,MY September-August,2004.354,14086.699,24.233,16115.286,6435.852,30.587,5667.398,12133.837,2746.937,14880.774,1234.512
2022/23,MY September-August,1376.89,13650.531,38.679,15066.1,6526.467,31.622,5485.899,12043.988,1661.911,13705.899,1360.201
2023/24,MY September-August,1360.201,15340.52,28.412,16729.133,6850.071,29.834,5831.009,12710.914,2254.819,14965.733,1763.4
2024/25,MY September-August,1763.4,14891.756,21.645,16676.801,6780.452,32.322,5454.489,12267.263,2858.252,15125.515,1551.286
2025/26,MY September-August,1551.286,17020.549,25,18596.835,6941,29,6200,13170,3200,16370,2226.835
