marketing_year,quarter_period,beginning_stocks,production,imports,total_supply,industrial_use,seed_use,feed_residual,total_domestic_use,exports,total_use,ending_stocks
1975/76,Q1 September-November,558,5840.757,0.24,6398.997,123.8,0,927.673,1051.473,372.924,1424.397,4974.6
1975/76,Q2 December-February,4974.6,0,0.597,4975.197,114.4,0,1060.361,1174.761,426.836,1601.597,3373.6
1975/76,Q3 March-May,3373.6,0,0.205,3373.805,130,16.1,912.515,1058.615,446.39,1505.005,1868.8
1975/76,Q4 June-August,1868.8,0,0.455,1869.255,132.5,4,681.211,817.711,418.344,1236.055,633.2
1975/76,MY September-August,558,5840.757,1.497,6400.254,500.7,20.1,3581.76,4102.56,1664.494,5767.054,633.2
1976/77,Q1 September-November,633.2,6289.169,0.486,6922.855,130.3,0,936.572,1066.872,468.783,1535.655,5387.2
1976/77,Q2 December-February,5387.2,0,0.394,5387.594,117.9,0,1038.892,1156.792,382.602,1539.394,3848.2
1976/77,Q3 March-May,3848.2,0,0.533,3848.733,131.9,16.1,899.836,1047.836,430.897,1478.733,2370
1976/77,Q4 June-August,2370,0,1.018,2371.018,142,4,726.581,872.581,362.837,1235.418,1135.6
1976/77,MY September-August,633.2,6289.169,2.431,6924.8,522.1,20.1,3601.881,4144.081,1645.119,5789.2,1135.6
1977/78,Q1 September-November,1135.6,6505.041,0.641,7641.282,138.9,0,1016.577,1155.477,399.105,1554.582,6086.7
1977/78,Q2 December-February,6086.7,0,0.656,6087.356,128.6,0,1069.293,1197.893,407.863,1605.756,4481.6
1977/78,Q3 March-May,4481.6,0,0.527,4482.127,141.7,15.6,939.432,1096.732,524.295,1621.027,2861.1
1977/78,Q4 June-August,2861.1,0,0.574,2861.674,152.3,3.9,704.441,860.641,565.133,1425.774,1435.9
1977/78,MY September-August,1135.6,6505.041,2.398,7643.039,561.5,19.5,3729.743,4310.743,1896.396,6207.139,1435.9
1978/79,Q1 September-November,1435.9,7267.927,0.135,8703.962,146.7,0,1160.223,1306.923,468.839,1775.762,6928.2
1978/79,Q2 December-February,6928.2,0,0.304,6928.504,135.1,0,1228.996,1364.096,413.308,1777.404,5151.1
1978/79,Q3 March-May,5151.1,0,0.296,5151.396,157.5,15.6,1136.449,1309.549,554.647,1864.196,3287.2
1978/79,Q4 June-August,3287.2,0,0.417,3287.617,149.2,3.9,748.694,901.794,676.323,1578.117,1709.5
1978/79,MY September-August,1435.9,7267.927,1.152,8704.979,588.5,19.5,4274.362,4882.362,2113.117,6995.479,1709.5
1979/80,Q1 September-November,1709.5,7928.139,0.215,9637.854,151.5,0,1270.98,1422.48,621.274,2043.754,7594.1
1979/80,Q2 December-February,7594.1,0,0.166,7594.266,140.3,0,1299.23,1439.53,597.736,2037.266,5557
1979/80,Q3 March-May,5557,0,0.2,5557.2,159.6,16,1149.527,1325.127,587.773,1912.9,3644.3
1979/80,Q4 June-August,3644.3,0,0.14,3644.44,168.1,4,843.306,1015.406,594.734,1610.14,2034.3
1979/80,MY September-August,1709.5,7928.139,0.721,9638.36,619.5,20,4563.043,5202.543,2401.517,7604.06,2034.3
1980/81,Q1 September-November,2034.3,6639.396,0.292,8673.988,154.5,0,1235.721,1390.221,687.867,2078.088,6595.9
1980/81,Q2 December-February,6595.9,0,0.003,6595.903,144.7,0,1142.829,1287.529,645.974,1933.503,4662.4
